CurrentDate|ActivityGroup|NikeIncTeam|RetailerId|RetailerName|RetailerDivisionName|StoreNumber|LocationPK|StoreName|EnglishLanguageAddressLine1|EnglishLanguageAddressLine2|EnglishLanguageAddressLine3|EnglishLanguageAddressCity|EnglishLanguageAddressState|EnglishLanguageAddressPostalCode|EnglishLanguageAddressCountry|EnglishLanguageAddressRegion|EnglishLanguageAddressCounty|EnglishLanguageAddressArea|EnglishLanguageAddressProvince|EnglishLanguageStoreRank|EnglishLanguageStoreType|EnglishLanguageDemographic|EnglishLanguageClimate|EnglishLanguageCompStoreInd|EnglishLanguageBBG|EnglishLanguageChannel|LocalLanguageAddressLine1|LocalLanguageAddressLine2|LocalLanguageAddressLine3|LocalLanguageAddressCity|LocalLanguageAddressState|LocalLanguageAddressPostalCode|LocalLanguageAddressCountry|LocalLanguageAddressRegion|LocalLanguageAddressCounty|LocalLanguageAddressArea|LocalLanguageAddressProvince|LocalLanguageStoreRank|LocalLanguageStoreType|LocalLanguageDemographic|LocalLanguageClimate|LocalLanguageCompStoreInd|LocalLanguageInternationalStoreName|LocalLanguageBBG|LocalLanguageChannel|PhoneNumber|OpenDate|CloseDate|SquareFeet|POSId
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS WCOM KID|005063163|-2145876453|WCOM KID ELLOTTE 2|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Apr  2 2015 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNSEONG SPORTS NSW DEPT BEST|005064872|-2145852152|NSW LOTTE JAMSIL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||May 25 2015 12:00AM|Oct 19 2016 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG BETTER|005072487|-2145747428|MUNJEONG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072442|-2145747427|LOTTE GIMPO SKY PARK|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072443|-2145747426|LOTTE YEONGDEUNGPO|SONGPA-GU SONGPA-DAERO|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SONGPA-GU SONGPA-DAERO|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072488|-2145747425|LOTTE GWANAK|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072489|-2145747424|LOTTE BUNDANG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072490|-2145747423|LOTTE MYEONGDONG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072491|-2145747422|LOTTE JAMSIL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG DS BEST|005072492|-2145747421|LOTTE ANYANG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Oct 18 2016 12:00AM|||
